Type,Module,Layer,Usage,StructuralStatus,IsZombie,IsIsolated,IsEntryPoint
EstatisticaForense,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
MotorDeIdentidade,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
MotorTaxonomia,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
Cluster,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
InfoArquetipo,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
BibliotecaArquetipos,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
DivergenceLogger,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0
DivergenceScore,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0
IClassificadorBiometrico,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
IClassificadorColetivo,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0
IClassificadorEtogramaV2,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
IClassificadorIndividual,AvaliaRoteiro,Aplicação,11,DriftArquitetural,0,0,0
IClassificadorJungV2,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
IClassificadorLacanianoV2,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
IClassificadorMBTIV2,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
IClassificadorNarrativaV2,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
IExtratorEtograma,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0
IMotorEtograma,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
permite,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
IMotorEtograma,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
IMotorEtogramaCartesiano,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
IMotorIdentidadeRNA,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
IMotorIntencional,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
BibliotecaCentroidesEtograma,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
BlocoNarrativoFingerprint,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ContextoIdentidadeFingerprint,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0
ContextoNarrativo,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
ContextoNarrativoFingerprint,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
EstadoIdentidade,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0
Etograma,AvaliaRoteiro,Aplicação,26,DriftArquitetural,0,0,0
ExpressaoIdentidade,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0
ParcialEtograma,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
RegraArquetipo,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ResultadoEtograma,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
ResultadoIdentidadeConsolidada,AvaliaRoteiro,Aplicação,6,DriftArquitetural,0,0,0
ResultadoJung,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
ResultadoLacaniano,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
ResultadoMBTI,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
TokenFingerprint,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
TurnoDialogoFingerprint,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
VetorEtograma3D,AvaliaRoteiro,Aplicação,6,DriftArquitetural,0,0,0
ModuloEtogramaV2,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0
MotorIdentidadeRNA,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ExtratorEtogramaDeriva6,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
MotorEtogramaCartesiano3D,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
MotorEtogramaHeuristico,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
MotorEtogramaV2,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
MotorVetorialV2,AvaliaRoteiro,Core,1,DriftLogico,0,0,0
ExpressaoIntencional,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0
MotorIntencionalV1,AvaliaRoteiro,Aplicação,0,DriftLogico,1,0,0
ClassificadorJung,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
ClassificadorJungV2,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ClassificadorEtogramaCartesiano,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
ClassificadorEnergia_V2,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ClassificadorIntensidade,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ClassificadorTermico,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ClassificadorNarrativaV2,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
ClassificadorScriptome,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
ContextoNarrativoRNA,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0
ClassificadorHibrido,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0
ClassificadorLacaniano,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ClassificadorLacanianoV2,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ClassificadorLacanianoV2Legado,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0
ClassificadorMBTI,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ClassificadorMBTIV2,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
ClassificadorPsicodinamico,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0
ClassificadorPsicodinamicoAvancado,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0
