Classe,Arquivo,Namespace,TotalUsos,Status,CandidatoRemocao,ReferenciadoPor
Program,,Scriptome,2,Ativo,NÃO,"Program"
EstatisticaForense,,Scriptome.Fingerprint,2,Ativo,NÃO,"EstatisticaForense"
MotorDeIdentidade,,Scriptome.Fingerprint,3,Ativo,NÃO,"MotorDeIdentidade"
MotorTaxonomia,,Scriptome.Fingerprint,2,Ativo,NÃO,"MotorTaxonomia"
Cluster,,Scriptome.Fingerprint,1,Ativo,NÃO,"Cluster"
ConfigService,,Global,1,Ativo,NÃO,"ConfigService"
PathResolver,,Global,1,Ativo,NÃO,"PathResolver"
RaizComposicao,,Scriptome.Infrastructure,1,Ativo,NÃO,"RaizComposicao"
ScriptomeJsonExporter,,Scriptome.Infrastructure,1,Ativo,NÃO,"ScriptomeJsonExporter"
ScriptomeVisualizer,,Scriptome.Infrastructure,1,Ativo,NÃO,"ScriptomeVisualizer"
ZumbiScanner,,Scriptome.Infrastructure,2,Ativo,NÃO,"ZumbiScanner"
ClasseInfo,,Scriptome.Infrastructure,1,Ativo,NÃO,"ClasseInfo"
OrquestradorNucleo,,Scriptome.Nucleo,2,Ativo,NÃO,"OrquestradorNucleo"
InfoArquetipo,,Scriptome.Fingerprint.Dados,1,Ativo,NÃO,"InfoArquetipo"
BibliotecaArquetipos,,Scriptome.Fingerprint.Dados,3,Ativo,NÃO,"BibliotecaArquetipos"
DivergenceLogger,,Scriptome.Fingerprint.Forense,0,Morto Absoluto,SIM,"DivergenceLogger"
DivergenceScore,,Scriptome.Fingerprint.Forense,0,Morto Absoluto,SIM,"DivergenceScore"
IClassificadorBiometrico,,Scriptome.Fingerprint.Interfaces,2,Ativo,NÃO,"IClassificadorBiometrico"
IClassificadorColetivo,,Scriptome.Fingerprint.Interfaces,0,Morto Absoluto,SIM,"IClassificadorColetivo"
IClassificadorEtogramaV2,,Scriptome.Fingerprint.Interfaces,2,Ativo,NÃO,"IClassificadorEtogramaV2"
IClassificadorIndividual,,Scriptome.Fingerprint.Interfaces,11,Ativo,NÃO,"IClassificadorIndividual"
IClassificadorJungV2,,Scriptome.Fingerprint.Interfaces,3,Ativo,NÃO,"IClassificadorJungV2"
IClassificadorLacanianoV2,,Scriptome.Fingerprint.Interfaces,2,Ativo,NÃO,"IClassificadorLacanianoV2"
IClassificadorMBTIV2,,Scriptome.Fingerprint.Interfaces,2,Ativo,NÃO,"IClassificadorMBTIV2"
IClassificadorNarrativaV2,,Scriptome.Fingerprint.Interfaces,2,Ativo,NÃO,"IClassificadorNarrativaV2"
IExtratorEtograma,,Scriptome.Fingerprint.Interfaces,4,Ativo,NÃO,"IExtratorEtograma"
IMotorEtograma,,Scriptome.Fingerprint.Interfaces,2,Ativo,NÃO,"IMotorEtograma"
permite,,Scriptome.Fingerprint.Interfaces,3,Ativo,NÃO,"permite"
IMotorEtograma,,Scriptome.Fingerprint.Interfaces,2,Ativo,NÃO,"IMotorEtograma"
IMotorEtogramaCartesiano,,Scriptome.Fingerprint.Interfaces,3,Ativo,NÃO,"IMotorEtogramaCartesiano"
IMotorIdentidadeRNA,,Scriptome.Fingerprint.Interfaces,3,Ativo,NÃO,"IMotorIdentidadeRNA"
IMotorIntencional,,Scriptome.Fingerprint.Interfaces,2,Ativo,NÃO,"IMotorIntencional"
BibliotecaCentroidesEtograma,,Scriptome.Fingerprint.MotoresEtograma,2,Ativo,NÃO,"BibliotecaCentroidesEtograma"
BlocoNarrativoFingerprint,,Scriptome.Fingerprint.Modelos,1,Ativo,NÃO,"BlocoNarrativoFingerprint"
ContextoIdentidadeFingerprint,,Scriptome.Fingerprint.Modelos,0,Morto Absoluto,SIM,"ContextoIdentidadeFingerprint"
