Type,Module,Layer,Usage,StructuralStatus,IsStructuralCandidate,IsUnresolved,IsIsolated,IsEntryPoint
EstatisticaForense,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0,0
MotorDeIdentidade,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0,0
MotorTaxonomia,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
Cluster,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
InfoArquetipo,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
BibliotecaArquetipos,AvaliaRoteiro,Aplicação,5,DriftArquitetural,0,0,0,0
DivergenceLogger,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0,0
DivergenceScore,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,1,0,0
IClassificadorBiometrico,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
IClassificadorColetivo,AvaliaRoteiro,Aplicação,0,DriftArquitetural,0,0,0,0
IClassificadorEtogramaV2,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
IClassificadorIndividual,AvaliaRoteiro,Aplicação,13,DriftArquitetural,0,0,0,0
IClassificadorJungV2,AvaliaRoteiro,Aplicação,5,DriftArquitetural,0,0,0,0
IClassificadorLacanianoV2,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
IClassificadorMBTIV2,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
IClassificadorNarrativaV2,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
IExtratorEtograma,AvaliaRoteiro,Aplicação,6,DriftArquitetural,0,0,0,0
IMotorEtograma,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0,0
IMotorEtogramaCartesiano,AvaliaRoteiro,Aplicação,5,DriftArquitetural,0,0,0,0
IMotorIdentidadeRNA,AvaliaRoteiro,Aplicação,5,DriftArquitetural,0,0,0,0
IMotorIntencional,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
BibliotecaCentroidesEtograma,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0,0
EstadoIdentidade,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,1,0
Etograma,AvaliaRoteiro,Core,34,DriftArquitetural,0,0,0,0
ResultadoJung,AvaliaRoteiro,Core,3,DriftArquitetural,0,0,0,0
VetorEtograma3D,AvaliaRoteiro,Core,6,DriftArquitetural,0,0,0,0
ModuloEtogramaV2,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,1,0,0
MotorIdentidadeRNA,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ExtratorEtogramaDeriva6,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0,0
MotorEtogramaCartesiano3D,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
MotorEtogramaHeuristico,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0,0
MotorEtogramaV2,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
MotorVetorialV2,AvaliaRoteiro,Core,3,DriftLogico,0,0,0,0
MotorIntencionalV1,AvaliaRoteiro,Aplicação,0,DriftLogico,1,0,0,0
ClassificadorJung,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0,0
ClassificadorJungV2,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ClassificadorEtogramaCartesiano,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0,0
ClassificadorEnergia_V2,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
ClassificadorIntensidade,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ClassificadorTermico,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ClassificadorNarrativaV2,AvaliaRoteiro,Aplicação,5,DriftArquitetural,0,0,0,0
ClassificadorScriptome,AvaliaRoteiro,Aplicação,5,DriftArquitetural,0,0,0,0
ClassificadorHibrido,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0,0
ClassificadorLacaniano,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0,0
ClassificadorLacanianoV2,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ClassificadorLacanianoV2Legado,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,0,0,0
ClassificadorMBTI,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0,0
ClassificadorMBTIV2,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ClassificadorPsicodinamico,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
ClassificadorPsicodinamicoAvancado,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0,0
