Metric,Module,Type,AbsoluteValue,ContributionWithinModule
Coupling,Program.cs,Program,16,1,00
Coupling,Fingerprint,EstatisticaForense,0,0,00
Coupling,Fingerprint,MotorDeIdentidade,2,0,04
Coupling,Fingerprint,MotorTaxonomia,1,0,02
Coupling,Fingerprint,Cluster,1,0,02
Coupling,Fingerprint,InfoArquetipo,0,0,00
Coupling,Fingerprint,BibliotecaArquetipos,0,0,00
Coupling,Fingerprint,DivergenceLogger,1,0,02
Coupling,Fingerprint,DivergenceScore,1,0,02
Coupling,Fingerprint,IClassificadorBiometrico,1,0,02
Coupling,Fingerprint,IClassificadorColetivo,2,0,04
Coupling,Fingerprint,IClassificadorEtogramaV2,1,0,02
Coupling,Fingerprint,IClassificadorIndividual,1,0,02
Coupling,Fingerprint,IClassificadorJungV2,2,0,04
Coupling,Fingerprint,IClassificadorLacanianoV2,2,0,04
Coupling,Fingerprint,IClassificadorMBTIV2,2,0,04
Coupling,Fingerprint,IClassificadorNarrativaV2,1,0,02
Coupling,Fingerprint,IExtratorEtograma,1,0,02
Coupling,Fingerprint,IMotorEtograma,1,0,02
Coupling,Fingerprint,IMotorEtogramaCartesiano,1,0,02
Coupling,Fingerprint,IMotorIdentidadeRNA,1,0,02
Coupling,Fingerprint,IMotorIntencional,1,0,02
Coupling,Fingerprint,BibliotecaCentroidesEtograma,0,0,00
Coupling,Fingerprint,EstadoIdentidade,0,0,00
Coupling,Fingerprint,Etograma,0,0,00
Coupling,Fingerprint,ResultadoJung,0,0,00
Coupling,Fingerprint,VetorEtograma3D,0,0,00
Coupling,Fingerprint,ModuloEtogramaV2,3,0,06
Coupling,Fingerprint,MotorIdentidadeRNA,1,0,02
Coupling,Fingerprint,ExtratorEtogramaDeriva6,1,0,02
Coupling,Fingerprint,MotorEtogramaCartesiano3D,1,0,02
Coupling,Fingerprint,MotorEtogramaHeuristico,1,0,02
Coupling,Fingerprint,MotorEtogramaV2,1,0,02
Coupling,Fingerprint,MotorVetorialV2,0,0,00
Coupling,Fingerprint,MotorIntencionalV1,1,0,02
Coupling,Fingerprint,ClassificadorJung,1,0,02
Coupling,Fingerprint,ClassificadorJungV2,2,0,04
Coupling,Fingerprint,ClassificadorEtogramaCartesiano,0,0,00
Coupling,Fingerprint,ClassificadorEnergia_V2,0,0,00
Coupling,Fingerprint,ClassificadorIntensidade,1,0,02
Coupling,Fingerprint,ClassificadorTermico,1,0,02
Coupling,Fingerprint,ClassificadorNarrativaV2,2,0,04
Coupling,Fingerprint,ClassificadorScriptome,1,0,02
Coupling,Fingerprint,ClassificadorHibrido,1,0,02
Coupling,Fingerprint,ClassificadorLacaniano,1,0,02
Coupling,Fingerprint,ClassificadorLacanianoV2,2,0,04
Coupling,Fingerprint,ClassificadorLacanianoV2Legado,1,0,02
Coupling,Fingerprint,ClassificadorMBTI,1,0,02
Coupling,Fingerprint,ClassificadorMBTIV2,2,0,04
Coupling,Fingerprint,ClassificadorPsicodinamico,1,0,02
Coupling,Fingerprint,ClassificadorPsicodinamicoAvancado,1,0,02
Coupling,Infrastructure,ConfigService,0,0,00
Coupling,Infrastructure,PathResolver,0,0,00
Coupling,Infrastructure,RaizComposicao,61,0,69
Coupling,Infrastructure,ScriptomeJsonExporter,1,0,01
Coupling,Infrastructure,ScriptomeVisualizer,1,0,01
Coupling,Infrastructure,ZumbiScanner,0,0,00
Coupling,Infrastructure,ClasseInfo,0,0,00
Coupling,Infrastructure,ExportadorBaselineElencoLegacyJson,1,0,01
Coupling,Infrastructure,ExportadorBaselineEtograma,0,0,00
Coupling,Infrastructure,LeitorBaseline,0,0,00
Coupling,Infrastructure,ExportadorExcelModular,2,0,02
Coupling,Infrastructure,VisualizadorEtograma,2,0,02
