Type,Module,Layer,Usage,StructuralStatus,IsStructuralCandidate,IsUnresolved,IsIsolated,IsEntryPoint
ConfigService,AvaliaRoteiro,Aplicação,0,DriftLogico,1,1,0,0
PathResolver,AvaliaRoteiro,Aplicação,0,DriftLogico,1,0,0,0
RaizComposicao,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ScriptomeJsonExporter,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
ScriptomeVisualizer,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0,0
ZumbiScanner,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ClasseInfo,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ExportadorBaselineElencoLegacyJson,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ExportadorBaselineEtograma,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
LeitorBaseline,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,1,0,0
ExportadorExcelModular,AvaliaRoteiro,Aplicação,2,DriftLogico,0,0,0,0
VisualizadorEtograma,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
IAbaExcel,AvaliaRoteiro,Aplicação,9,DriftArquitetural,0,0,0,0
IExportadorScriptome,AvaliaRoteiro,Aplicação,3,DriftArquitetural,0,0,0,0
ComparacaoJung,AvaliaRoteiro,Aplicação,7,DriftArquitetural,0,0,0,0
ComparadorJung,AvaliaRoteiro,Aplicação,2,DriftLogico,0,0,0,0
ExecutorValidacaoJung,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,1,0,0
ExportadorBaselineJung,AvaliaRoteiro,Aplicação,0,DriftLogico,1,0,0,0
MetricasDivergencia,AvaliaRoteiro,Aplicação,1,DriftArquitetural,0,0,0,0
ValidadorJung,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
AbaAnaliseDeCenas,AvaliaRoteiro,UI,2,DriftLogico,0,0,0,1
AbaBeatSheet,AvaliaRoteiro,UI,2,DriftLogico,0,0,0,1
AbaDashboard,AvaliaRoteiro,UI,2,DriftLogico,0,0,0,1
AbaElenco,AvaliaRoteiro,UI,2,DriftLogico,0,0,0,1
AbaEstrutura,AvaliaRoteiro,UI,0,DriftLogico,1,0,0,1
AbaMatrizSocial,AvaliaRoteiro,UI,2,DriftLogico,0,0,0,1
AbaTaxonomia,AvaliaRoteiro,UI,2,DriftLogico,0,0,0,1
