Metric,Module,Type,AbsoluteValue,ContributionWithinModule
Coupling,AvaliaRoteiro,Program,9,0,02
Coupling,AvaliaRoteiro,EstatisticaForense,0,0,00
Coupling,AvaliaRoteiro,MotorDeIdentidade,4,0,01
Coupling,AvaliaRoteiro,MotorTaxonomia,2,0,00
Coupling,AvaliaRoteiro,Cluster,2,0,00
Coupling,AvaliaRoteiro,ConfigService,1,0,00
Coupling,AvaliaRoteiro,PathResolver,1,0,00
Coupling,AvaliaRoteiro,RaizComposicao,36,0,07
Coupling,AvaliaRoteiro,ScriptomeJsonExporter,1,0,00
Coupling,AvaliaRoteiro,ScriptomeVisualizer,1,0,00
Coupling,AvaliaRoteiro,ZumbiScanner,3,0,01
Coupling,AvaliaRoteiro,ClasseInfo,3,0,01
Coupling,AvaliaRoteiro,OrquestradorNucleo,7,0,01
Coupling,AvaliaRoteiro,InfoArquetipo,1,0,00
Coupling,AvaliaRoteiro,BibliotecaArquetipos,1,0,00
Coupling,AvaliaRoteiro,DivergenceLogger,2,0,00
Coupling,AvaliaRoteiro,DivergenceScore,2,0,00
Coupling,AvaliaRoteiro,IClassificadorBiometrico,2,0,00
Coupling,AvaliaRoteiro,IClassificadorColetivo,2,0,00
Coupling,AvaliaRoteiro,IClassificadorEtogramaV2,2,0,00
Coupling,AvaliaRoteiro,IClassificadorIndividual,3,0,01
Coupling,AvaliaRoteiro,IClassificadorJungV2,2,0,00
Coupling,AvaliaRoteiro,IClassificadorLacanianoV2,2,0,00
Coupling,AvaliaRoteiro,IClassificadorMBTIV2,2,0,00
Coupling,AvaliaRoteiro,IClassificadorNarrativaV2,4,0,01
Coupling,AvaliaRoteiro,IExtratorEtograma,2,0,00
Coupling,AvaliaRoteiro,IMotorEtograma,8,0,02
Coupling,AvaliaRoteiro,permite,4,0,01
Coupling,AvaliaRoteiro,IMotorEtogramaCartesiano,2,0,00
Coupling,AvaliaRoteiro,IMotorIdentidadeRNA,4,0,01
Coupling,AvaliaRoteiro,IMotorIntencional,2,0,00
Coupling,AvaliaRoteiro,BibliotecaCentroidesEtograma,1,0,00
Coupling,AvaliaRoteiro,BlocoNarrativoFingerprint,1,0,00
Coupling,AvaliaRoteiro,ContextoIdentidadeFingerprint,4,0,01
Coupling,AvaliaRoteiro,ContextoNarrativo,3,0,01
Coupling,AvaliaRoteiro,ContextoNarrativoFingerprint,1,0,00
Coupling,AvaliaRoteiro,EstadoIdentidade,0,0,00
Coupling,AvaliaRoteiro,Etograma,0,0,00
Coupling,AvaliaRoteiro,ExpressaoIdentidade,0,0,00
Coupling,AvaliaRoteiro,ParcialEtograma,0,0,00
Coupling,AvaliaRoteiro,RegraArquetipo,1,0,00
Coupling,AvaliaRoteiro,ResultadoEtograma,0,0,00
Coupling,AvaliaRoteiro,ResultadoIdentidadeConsolidada,4,0,01
Coupling,AvaliaRoteiro,ResultadoJung,0,0,00
Coupling,AvaliaRoteiro,ResultadoLacaniano,0,0,00
Coupling,AvaliaRoteiro,ResultadoMBTI,0,0,00
Coupling,AvaliaRoteiro,TokenFingerprint,0,0,00
Coupling,AvaliaRoteiro,TurnoDialogoFingerprint,1,0,00
Coupling,AvaliaRoteiro,VetorEtograma3D,1,0,00
Coupling,AvaliaRoteiro,ModuloEtogramaV2,8,0,02
Coupling,AvaliaRoteiro,MotorIdentidadeRNA,9,0,02
Coupling,AvaliaRoteiro,ExtratorEtogramaDeriva6,3,0,01
Coupling,AvaliaRoteiro,MotorEtogramaCartesiano3D,5,0,01
Coupling,AvaliaRoteiro,MotorEtogramaHeuristico,4,0,01
Coupling,AvaliaRoteiro,MotorEtogramaV2,5,0,01
Coupling,AvaliaRoteiro,MotorVetorialV2,2,0,00
Coupling,AvaliaRoteiro,ExpressaoIntencional,0,0,00
Coupling,AvaliaRoteiro,MotorIntencionalV1,3,0,01
Coupling,AvaliaRoteiro,ExportadorBaselineElencoLegacyJson,2,0,00
Coupling,AvaliaRoteiro,ExportadorBaselineEtograma,0,0,00
Coupling,AvaliaRoteiro,LeitorBaseline,0,0,00
Coupling,AvaliaRoteiro,ExportadorExcelModular,12,0,02
Coupling,AvaliaRoteiro,VisualizadorEtograma,3,0,01
Coupling,AvaliaRoteiro,IAbaExcel,1,0,00
Coupling,AvaliaRoteiro,IExportadorScriptome,1,0,00
Coupling,AvaliaRoteiro,ComparacaoJung,0,0,00
Coupling,AvaliaRoteiro,ComparadorJung,1,0,00
Coupling,AvaliaRoteiro,ExecutorValidacaoJung,5,0,01
Coupling,AvaliaRoteiro,ExportadorBaselineJung,1,0,00
Coupling,AvaliaRoteiro,MetricasDivergencia,1,0,00
Coupling,AvaliaRoteiro,ValidadorJung,7,0,01
Coupling,AvaliaRoteiro,CalculadoraTensao,0,0,00
Coupling,AvaliaRoteiro,CalculadoraModalidade,0,0,00
Coupling,AvaliaRoteiro,HeuristicaContextual,2,0,00
Coupling,AvaliaRoteiro,LematizadorCatalyst,0,0,00
Coupling,AvaliaRoteiro,LematizadorVerbal,0,0,00
