Type,Module,Layer,Usage,StructuralStatus,IsZombie,IsIsolated,IsEntryPoint
CalculadoraTensao,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
CalculadoraModalidade,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
HeuristicaContextual,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
LematizadorCatalyst,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
LematizadorVerbal,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
MotorDeriva6,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
BancoDeDadosLexico,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
CarregadorLimbic,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
ConfiguradorLimbic,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
ParametrosVader,AvaliaRoteiro,Core,5,DriftArquitetural,0,0,0
RepositorioLexicoUnificado,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
ILimbicAnalyzer,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
IMotorDeriva,AvaliaRoteiro,Core,5,DriftArquitetural,0,0,0
IMotorLexico,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
IMotorLimbic,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
IServicoVocabulario,AvaliaRoteiro,Core,5,DriftArquitetural,0,0,0
Token,AvaliaRoteiro,Aplicação,8,DriftLogico,0,0,0
IPipelineLinguistico,AvaliaRoteiro,Aplicação,3,DriftLogico,0,0,0
LematizadorHibrido,AvaliaRoteiro,Aplicação,1,DriftLogico,0,0,0
ProcessadorLinguistico,AvaliaRoteiro,Aplicação,3,DriftLogico,0,0,0
EntradaLimbic,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
InfoPalavra,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,0
ResultadoDeriva,AvaliaRoteiro,Core,8,DriftArquitetural,0,0,0
ResultadoLimbic,AvaliaRoteiro,Core,4,DriftArquitetural,0,0,0
TermoLexical,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0
TokenPontuado,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
MotorLimbic,AvaliaRoteiro,Core,11,DriftArquitetural,0,0,0
AnalisadorContextual,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
AnalisadorLexico,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
ConstrutorDeCena,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
ImpactoVetorial,AvaliaRoteiro,Core,3,DriftArquitetural,0,0,0
AcumuladorForense,AvaliaRoteiro,Core,3,DriftArquitetural,0,0,0
ContextoLimbic,AvaliaRoteiro,Core,7,DriftArquitetural,0,0,0
MotorDeFusao,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
PipelineLimbic,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0
VerificadorLimbic,AvaliaRoteiro,Aplicação,1,DriftLogico,0,0,0
VerificadorDerivaCompleto,AvaliaRoteiro,Aplicação,1,DriftLogico,0,0,0
