Type,Module,Layer,Usage,StructuralStatus,IsStructuralCandidate,IsUnresolved,IsIsolated,IsEntryPoint
CalculadoraTensao,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,1,0,0
CalculadoraModalidade,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,1,0,0
HeuristicaContextual,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
LematizadorCatalyst,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,1,0,0
LematizadorVerbal,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,1,0,0
MotorDeriva6,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0,0
BancoDeDadosLexico,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0,0
CarregadorLimbic,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,1,0,0
ConfiguradorLimbic,AvaliaRoteiro,Aplicação,0,DriftArquitetural,1,1,0,0
ParametrosVader,AvaliaRoteiro,Aplicação,10,DriftArquitetural,0,0,0,0
RepositorioLexicoUnificado,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ILimbicAnalyzer,AvaliaRoteiro,Aplicação,0,DriftArquitetural,0,0,0,0
IMotorDeriva,AvaliaRoteiro,Aplicação,5,DriftArquitetural,0,0,0,0
IMotorLexico,AvaliaRoteiro,Aplicação,0,DriftArquitetural,0,0,0,0
IMotorLimbic,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
IServicoVocabulario,AvaliaRoteiro,Aplicação,5,DriftArquitetural,0,0,0,0
Token,AvaliaRoteiro,Aplicação,16,DriftLogico,0,0,0,0
IPipelineLinguistico,AvaliaRoteiro,Aplicação,3,DriftLogico,0,0,0,0
LematizadorHibrido,AvaliaRoteiro,Aplicação,2,DriftLogico,0,0,0,0
ProcessadorLinguistico,AvaliaRoteiro,Aplicação,6,DriftLogico,0,0,0,0
EntradaLimbic,AvaliaRoteiro,Core,1,DriftArquitetural,0,0,0,0
InfoPalavra,AvaliaRoteiro,Core,0,DriftArquitetural,1,1,1,0
ResultadoDeriva,AvaliaRoteiro,Core,9,DriftArquitetural,0,0,0,0
ResultadoLimbic,AvaliaRoteiro,Core,4,DriftArquitetural,0,0,0,0
TermoLexical,AvaliaRoteiro,Core,3,DriftArquitetural,0,0,0,0
TokenPontuado,AvaliaRoteiro,Core,2,DriftArquitetural,0,0,0,0
MotorLimbic,AvaliaRoteiro,Aplicação,8,DriftArquitetural,0,0,0,0
AnalisadorContextual,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
AnalisadorLexico,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ConstrutorDeCena,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
ImpactoVetorial,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0,0
AcumuladorForense,AvaliaRoteiro,Aplicação,4,DriftArquitetural,0,0,0,0
ContextoLimbic,AvaliaRoteiro,Aplicação,8,DriftArquitetural,0,0,0,0
MotorDeFusao,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
PipelineLimbic,AvaliaRoteiro,Aplicação,2,DriftArquitetural,0,0,0,0
VerificadorLimbic,AvaliaRoteiro,Aplicação,2,DriftLogico,0,0,0,0
VerificadorDerivaCompleto,AvaliaRoteiro,Aplicação,2,DriftLogico,0,0,0,0
