Type,Module,Layer,Usage,StructuralStatus,IsZombie,IsIsolated,IsEntryPoint
IAnalysisResult,RefactorScope,Core,19,Coerente,0,0,0
IAnalyzer,RefactorScope,Core,8,Coerente,0,0,0
IExporter,RefactorScope,Core,9,Coerente,0,0,0
IParserCodigo,RefactorScope,Core,1,Coerente,0,0,0
DumpStrategyConfig,RefactorScope,Core,1,Coerente,0,0,0
FitnessGateConfig,RefactorScope,Core,6,Coerente,0,0,0
DeadCodeGateConfig,RefactorScope,Core,4,Coerente,0,0,0
CouplingGateConfig,RefactorScope,Core,4,Coerente,0,0,0
CoreIsolationGateConfig,RefactorScope,Core,4,Coerente,0,0,0
FitnessGateConfigResolver,RefactorScope,Core,0,Coerente,1,1,0
RefactorScopeConfig,RefactorScope,Core,4,Coerente,0,0,0
AnalysisContext,RefactorScope,Core,39,Coerente,0,0,0
AnalysisContextExtensions,RefactorScope,Core,0,Coerente,1,1,0
LayerRuleConfig,RefactorScope,Core,2,Coerente,0,0,0
ArchitecturalHealthDatasetBuilder,RefactorScope,Core,0,Coerente,1,1,0
GlobalMetricsDatasetBuilder,RefactorScope,Core,0,Coerente,1,1,0
GlobalTypesDatasetBuilder,RefactorScope,Core,0,Coerente,1,1,0
IAnalyticalDatasetBuilder,RefactorScope,Core,9,Coerente,0,0,0
ModuleContributionDatasetBuilder,RefactorScope,Core,0,Coerente,1,1,0
StructuralOverviewDatasetBuilder,RefactorScope,Core,0,Coerente,1,1,0
StructuralScoreDatasetBuilder,RefactorScope,Core,0,Coerente,1,1,0
StructuralTrendDatasetBuilder,RefactorScope,Core,0,Coerente,1,1,0
TypeContributionDatasetBuilder,RefactorScope,Core,0,Coerente,1,1,0
FitnessGateEvaluator,RefactorScope,Core,0,Coerente,1,1,0
ArquivoInfo,RefactorScope,Core,2,Coerente,0,0,0
HygieneReport,RefactorScope,Core,2,Coerente,0,0,0
ModeloEstrutural,RefactorScope,Core,5,Coerente,0,0,0
ReferenciaInfo,RefactorScope,Core,3,Coerente,0,0,0
TipoInfo,RefactorScope,Core,4,Coerente,0,0,0
AnalysisOrchestrator,RefactorScope,Core,0,Coerente,1,1,0
ConsolidatedReport,RefactorScope,Core,25,Coerente,0,0,0
MarkdownReportExporter,RefactorScope,UI,0,DriftArquitetural,1,0,0
ReportConsolidator,RefactorScope,UI,0,DriftArquitetural,1,0,0
StructuralInventoryExporter,RefactorScope,UI,0,DriftArquitetural,1,0,0
ArchitecturalClassificationItem,RefactorScope,Core,2,Coerente,0,0,0
ArchitecturalClassificationResult,RefactorScope,Core,13,Coerente,0,0,0
CoreIsolationResult,RefactorScope,Core,11,Coerente,0,0,0
CouplingResult,RefactorScope,Core,10,Coerente,0,0,0
EntryPointHeuristicResult,RefactorScope,Core,7,Coerente,0,0,0
FitnessGateResult,RefactorScope,Core,4,Coerente,0,0,0
FitnessGateStatus,RefactorScope,Core,2,Coerente,0,0,0
ZombieResult,RefactorScope,Core,10,Coerente,0,0,0
ScopeFilteredFileDiscovery,RefactorScope,Core,0,Coerente,1,1,0
ScopeRuleSet,RefactorScope,Core,2,Coerente,0,0,0
StructuralAlignmentEvaluator,RefactorScope,Core,1,Coerente,0,0,0
