Type,Module,Layer,Usage,StructuralStatus,IsStructuralCandidate,IsUnresolved,IsIsolated,IsEntryPoint
ArchitecturalClassificationAnalyzer,RefactorScope,Core,0,DriftArquitetural,1,0,1,0
ArchitecturalHygieneAnalyzer,RefactorScope,Core,3,Coerente,0,0,0,0
CoreIsolationAnalyzer,RefactorScope,Core,0,DriftArquitetural,1,0,1,0
CouplingAnalyzer,RefactorScope,Core,0,DriftArquitetural,1,0,1,0
EntryPointHeuristicAnalyzer,RefactorScope,Core,0,DriftArquitetural,1,0,1,0
FitnessGateAnalyzer,RefactorScope,Core,0,DriftArquitetural,1,0,1,0
ImplicitCouplingAnalyzer,RefactorScope,Core,0,DriftArquitetural,1,0,1,0
ProjectStructureAnalyzer,RefactorScope,Core,0,DriftArquitetural,1,0,1,0
StructuralCandidateAnalyzer,RefactorScope,Core,0,DriftArquitetural,1,0,1,0
StructuralCandidateRefinementAnalyzer,RefactorScope,Core,0,DriftArquitetural,1,0,1,0
SolidAnalyzer,RefactorScope,Core,0,DriftArquitetural,1,0,1,0
SolidConfig,RefactorScope,Core,7,DriftArquitetural,0,0,0,0
SolidResult,RefactorScope,Core,6,DriftArquitetural,0,0,0,0
SolidSuspicion,RefactorScope,Core,11,DriftArquitetural,0,0,0,0
CoreDependencyAbsolutionRule,RefactorScope,Core,2,DriftArquitetural,0,0,0,0
IAbsolutionRule,RefactorScope,Core,4,DriftArquitetural,0,0,0,0
IOmissionRule,RefactorScope,Core,3,DriftArquitetural,0,0,0,0
OrchestratorAbsolutionRule,RefactorScope,Core,2,DriftArquitetural,0,0,0,0
PublicZeroUsageOmissionRule,RefactorScope,Core,2,DriftArquitetural,0,0,0,0
