Metric,Module,Type,AbsoluteValue,ContributionWithinModule
Coupling,RefactorScope,ArchitecturalClassificationAnalyzer,11,0,03
Coupling,RefactorScope,ArchitecturalHygieneAnalyzer,7,0,02
Coupling,RefactorScope,CoreIsolationAnalyzer,7,0,02
Coupling,RefactorScope,CouplingAnalyzer,5,0,01
Coupling,RefactorScope,EntryPointHeuristicAnalyzer,5,0,01
Coupling,RefactorScope,FitnessGateAnalyzer,13,0,03
Coupling,RefactorScope,ProjectStructureAnalyzer,5,0,01
Coupling,RefactorScope,StructuralCandidateAnalyzer,6,0,01
Coupling,RefactorScope,StructuralCandidateRefinementAnalyzer,11,0,03
Coupling,RefactorScope,ParserSelector,5,0,01
Coupling,RefactorScope,SelfAnalysisSelector,0,0,00
Coupling,RefactorScope,FakeZombieService,0,0,00
Coupling,RefactorScope,ChartsRenderer,5,0,01
Coupling,RefactorScope,DatasetExporter,5,0,01
Coupling,RefactorScope,DumpAnaliseExporter,7,0,02
Coupling,RefactorScope,DumpIaExporter,3,0,01
Coupling,RefactorScope,FitnessGateCsvExporter,5,0,01
Coupling,RefactorScope,HtmlDashboardExporter,3,0,01
Coupling,RefactorScope,MarkdownReportExporter,11,0,03
Coupling,RefactorScope,ProjectStructureExporter,3,0,01
Coupling,RefactorScope,StructuralInventoryExporter,13,0,03
Coupling,RefactorScope,ConfigLoader,2,0,00
Coupling,RefactorScope,ConfigValidator,1,0,00
Coupling,RefactorScope,CrashLogger,0,0,00
Coupling,RefactorScope,LayerRuleEvaluator,2,0,00
Coupling,RefactorScope,TerminalRenderer,0,0,00
Coupling,RefactorScope,SolidAnalyzer,22,0,05
Coupling,RefactorScope,SolidConfig,0,0,00
Coupling,RefactorScope,SolidResult,3,0,01
Coupling,RefactorScope,SolidSuspicion,0,0,00
Coupling,RefactorScope,IAnalysisResult,0,0,00
Coupling,RefactorScope,IAnalyzer,2,0,00
Coupling,RefactorScope,IExporter,2,0,00
Coupling,RefactorScope,IParserCodigo,1,0,00
Coupling,RefactorScope,DumpStrategyConfig,0,0,00
Coupling,RefactorScope,FitnessGateConfig,3,0,01
Coupling,RefactorScope,DeadCodeGateConfig,0,0,00
Coupling,RefactorScope,CouplingGateConfig,0,0,00
Coupling,RefactorScope,CoreIsolationGateConfig,0,0,00
Coupling,RefactorScope,FitnessGateConfigResolver,8,0,02
Coupling,RefactorScope,RefactorScopeConfig,4,0,01
Coupling,RefactorScope,StructuralCandidateDetectionOptions,0,0,00
Coupling,RefactorScope,AnalysisContext,4,0,01
Coupling,RefactorScope,AnalysisContextExtensions,2,0,00
Coupling,RefactorScope,LayerRuleConfig,0,0,00
Coupling,RefactorScope,ArchitecturalHealthDatasetBuilder,11,0,03
Coupling,RefactorScope,GlobalMetricsDatasetBuilder,11,0,03
Coupling,RefactorScope,GlobalTypesDatasetBuilder,9,0,02
Coupling,RefactorScope,IAnalyticalDatasetBuilder,2,0,00
Coupling,RefactorScope,ModuleContributionDatasetBuilder,5,0,01
Coupling,RefactorScope,StructuralOverviewDatasetBuilder,11,0,03
Coupling,RefactorScope,StructuralScoreDatasetBuilder,13,0,03
Coupling,RefactorScope,StructuralTrendDatasetBuilder,9,0,02
Coupling,RefactorScope,TypeContributionDatasetBuilder,5,0,01
Coupling,RefactorScope,FitnessGateEvaluator,3,0,01
Coupling,RefactorScope,ArchitecturalClassificationItem,0,0,00
Coupling,RefactorScope,ArquivoInfo,2,0,00
