Type,Module,Layer,Usage,StructuralStatus,IsStructuralCandidate,IsUnresolved,IsIsolated,IsEntryPoint
ChartsRenderer,RefactorScope,Aplicação,3,DriftArquitetural,0,0,0,0
DatasetExporter,RefactorScope,Aplicação,0,DriftArquitetural,1,0,0,0
DumpAnaliseExporter,RefactorScope,Aplicação,0,DriftArquitetural,1,0,0,0
DumpIaExporter,RefactorScope,Aplicação,0,DriftArquitetural,1,0,0,0
FitnessGateCsvExporter,RefactorScope,Aplicação,0,DriftArquitetural,1,0,0,0
HtmlDashboardExporter,RefactorScope,Aplicação,0,DriftArquitetural,1,0,0,0
MarkdownReportExporter,RefactorScope,Aplicação,0,DriftArquitetural,1,0,0,0
ParsingChartsRenderer,RefactorScope,Aplicação,2,DriftArquitetural,0,0,0,0
ParsingDashboardExporter,RefactorScope,Aplicação,0,DriftArquitetural,1,0,0,0
ProjectStructureExporter,RefactorScope,Aplicação,0,DriftArquitetural,1,0,0,0
StructuralInventoryExporter,RefactorScope,Aplicação,1,DriftArquitetural,0,0,0,0
misuse,RefactorScope,Aplicação,1,DriftArquitetural,0,0,0,0
