Type,Module,Layer,Usage,StructuralStatus,IsStructuralCandidate,IsUnresolved,IsIsolated,IsEntryPoint
ClassComplexityClassifier,RefactorScope,Aplicação,1,DriftArquitetural,0,0,0,0
ClassComplexityScanResult,RefactorScope,Aplicação,1,DriftArquitetural,0,0,0,0
CSharpPreParser,RefactorScope,Aplicação,4,DriftArquitetural,0,0,0,0
FileSelectionScope,RefactorScope,Aplicação,4,DriftArquitetural,0,0,0,0
StructuralTokenGuard,RefactorScope,Aplicação,4,DriftArquitetural,0,0,0,0
CSharpRegexParser,RefactorScope,Aplicação,1,DriftArquitetural,0,0,0,0
HigienizadorLexico,RefactorScope,Aplicação,1,DriftArquitetural,0,0,0,0
CSharpTextualParser,RefactorScope,Aplicação,2,DriftArquitetural,0,0,0,0
RegexLocalRecovery,RefactorScope,Aplicação,2,DriftArquitetural,0,0,0,0
HybridAdaptiveParser,RefactorScope,Aplicação,1,DriftArquitetural,0,0,0,0
HybridIncrementalParser,RefactorScope,Aplicação,1,DriftArquitetural,0,0,0,0
HybridParser,RefactorScope,Aplicação,0,DriftArquitetural,1,1,0,0
HybridSelectiveParser,RefactorScope,Aplicação,1,DriftArquitetural,0,0,0,0
ModeloMerger,RefactorScope,Aplicação,3,DriftArquitetural,0,0,0,0
