Metric,Module,Type,AbsoluteValue,ContributionWithinModule
Coupling,Analyzers,ArchitecturalClassificationAnalyzer,7,0,10
Coupling,Analyzers,ArchitecturalHygieneAnalyzer,4,0,06
Coupling,Analyzers,CoreIsolationAnalyzer,5,0,07
Coupling,Analyzers,CouplingAnalyzer,4,0,06
Coupling,Analyzers,EntryPointHeuristicAnalyzer,4,0,06
Coupling,Analyzers,FitnessGateAnalyzer,8,0,11
Coupling,Analyzers,ImplicitCouplingAnalyzer,5,0,07
Coupling,Analyzers,ProjectStructureAnalyzer,4,0,06
Coupling,Analyzers,StatisticsValidationAnalyzer,7,0,10
Coupling,Analyzers,StructuralCandidateAnalyzer,5,0,07
Coupling,Analyzers,StructuralCandidateRefinementAnalyzer,8,0,11
Coupling,Analyzers,SolidAnalyzer,4,0,06
Coupling,Analyzers,SolidConfig,0,0,00
Coupling,Analyzers,SolidResult,1,0,01
Coupling,Analyzers,SolidSuspicion,0,0,00
Coupling,Analyzers,CoreDependencyAbsolutionRule,1,0,01
Coupling,Analyzers,IAbsolutionRule,1,0,01
Coupling,Analyzers,IOmissionRule,1,0,01
Coupling,Analyzers,OrchestratorAbsolutionRule,1,0,01
Coupling,Analyzers,PublicZeroUsageOmissionRule,2,0,03
Coupling,Estimation,EffortEstimator,3,0,50
Coupling,Estimation,RefactorClassifier,1,0,17
Coupling,Estimation,CouplingPressureModel,0,0,00
Coupling,Estimation,RDICalculator,1,0,17
Coupling,Estimation,SizePressureModel,1,0,17
Coupling,Estimation,StructuralRiskModel,0,0,00
Coupling,Infrastructure,ConfigLoader,2,0,33
Coupling,Infrastructure,ConfigValidator,1,0,17
Coupling,Infrastructure,CrashLogger,0,0,00
Coupling,Infrastructure,LayerRuleEvaluator,2,0,33
Coupling,Infrastructure,TerminalRenderer,1,0,17
Coupling,Core,IAnalysisResult,0,0,00
Coupling,Core,IAnalyzer,0,0,00
Coupling,Core,IExporter,0,0,00
Coupling,Core,IParserCodigo,0,0,00
Coupling,Core,IParserResult,0,0,00
Coupling,Core,IPipelineStep,0,0,00
Coupling,Core,IPreParser,0,0,00
Coupling,Core,DashboardOptions,0,0,00
Coupling,Core,DumpStrategyConfig,0,0,00
Coupling,Core,EstimatorConfig,0,0,00
Coupling,Core,FitnessGateConfig,0,0,00
Coupling,Core,DeadCodeGateConfig,0,0,00
Coupling,Core,CouplingGateConfig,0,0,00
Coupling,Core,CoreIsolationGateConfig,0,0,00
Coupling,Core,FitnessGateConfigResolver,0,0,00
Coupling,Core,RefactorScopeConfig,0,0,00
Coupling,Core,StatisticsConfig,0,0,00
Coupling,Core,StructuralCandidateDetectionOptions,0,0,00
Coupling,Core,AnalysisContext,0,0,00
Coupling,Core,AnalysisContextExtensions,0,0,00
Coupling,Core,LayerRuleConfig,0,0,00
Coupling,Core,ArchitecturalHealthDatasetBuilder,0,0,00
Coupling,Core,GlobalMetricsDatasetBuilder,0,0,00
Coupling,Core,GlobalTypesDatasetBuilder,0,0,00
Coupling,Core,IAnalyticalDatasetBuilder,0,0,00
Coupling,Core,ModuleContributionDatasetBuilder,0,0,00
Coupling,Core,StructuralOverviewDatasetBuilder,0,0,00
Coupling,Core,StructuralScoreDatasetBuilder,0,0,00
Coupling,Core,StructuralTrendDatasetBuilder,0,0,00
Coupling,Core,TypeContributionDatasetBuilder,0,0,00
Coupling,Core,FitnessGateEvaluator,0,0,00
Coupling,Core,ArchitecturalMetricsBuilder,0,0,00
Coupling,Core,ArchitecturalScoreCalculator,0,0,00
Coupling,Core,ArchitecturalClassificationItem,0,0,00
Coupling,Core,ArquivoInfo,0,0,00
Coupling,Core,CouplingSuspicion,0,0,00
Coupling,Core,HygieneReport,0,0,00
Coupling,Core,ModeloEstrutural,0,0,00
Coupling,Core,ReferenciaInfo,0,0,00
Coupling,Core,TipoInfo,0,0,00
Coupling,Core,AnalysisOrchestrator,2,0,22
Coupling,Core,ParserSelector,6,0,67
Coupling,Core,PlausibilityEvaluator,0,0,00
Coupling,Core,SanitizedSourceProvider,0,0,00
Coupling,Core,DesignPatternSignatureLibrary,0,0,00
Coupling,Core,StructuralHeuristicLibrary,0,0,00
Coupling,Core,ConsolidatedReportSnapshotExtensions,0,0,00
Coupling,Core,ReportConsolidator,0,0,00
Coupling,Core,ReportSnapshot,0,0,00
Coupling,Core,ExecutiveParsingSnapshot,0,0,00
Coupling,Core,ExecutiveStructuralSnapshot,0,0,00
Coupling,Core,ExecutiveArchitecturalSnapshot,0,0,00
Coupling,Core,ExecutiveQualitySnapshot,0,0,00
Coupling,Core,ExecutiveEffortSnapshot,0,0,00
Coupling,Core,ReportSnapshotBuilder,1,0,11
Coupling,Core,ArchitecturalClassificationResult,0,0,00
Coupling,Core,ConsolidatedReport,0,0,00
Coupling,Core,ConsolidatedReportExtensions,0,0,00
Coupling,Core,CoreIsolationResult,0,0,00
Coupling,Core,CouplingResult,0,0,00
Coupling,Core,EffortEstimateResult,0,0,00
Coupling,Core,EntryPointHeuristicResult,0,0,00
Coupling,Core,FitnessGateResult,0,0,00
Coupling,Core,FitnessGateStatus,0,0,00
Coupling,Core,ImplicitCouplingResult,0,0,00
Coupling,Core,ProjectStructureResult,0,0,00
Coupling,Core,StatisticsResult,0,0,00
Coupling,Core,StructuralBreakdownExtensions,0,0,00
Coupling,Core,StructuralCandidateAnalysisBreakdown,0,0,00
Coupling,Core,StructuralCandidateProbabilityItem,0,0,00
Coupling,Core,StructuralCandidateProbabilityResult,0,0,00
Coupling,Core,StructuralCandidateResult,0,0,00
Coupling,Core,ScopeFilteredFileDiscovery,0,0,00
Coupling,Core,ScopeRuleSet,0,0,00
Coupling,Core,StructuralAlignmentEvaluator,0,0,00
Coupling,Execution,DumpStrategyResolver,1,0,05
Coupling,Execution,ISegmentationResolver,1,0,05
Coupling,Execution,LayerSegmentationResolver,3,0,15
Coupling,Execution,SegmentScope,1,0,05
Coupling,Execution,TopFolderSegmentationResolver,2,0,10
Coupling,Execution,GlobalDumpStrategy,4,0,20
Coupling,Execution,IDumpStrategy,4,0,20
Coupling,Execution,SegmentedDumpStrategy,4,0,20
Coupling,Exporters,ArchitecturalDashboardExporterAdapter,5,0,04
Coupling,Exporters,ParsingDashboardExporterAdapter,5,0,04
Coupling,Exporters,QualityDashboardExporterAdapter,4,0,03
Coupling,Exporters,StructuralDashboardExporterAdapter,4,0,03
Coupling,Exporters,ArchitecturalDashboardExporter,8,0,06
Coupling,Exporters,ArchitecturalStructureRendererP5,7,0,05
Coupling,Exporters,DashboardMetricsCalculator,13,0,09
Coupling,Exporters,HubDashboardMetrics,13,0,09
Coupling,Exporters,ArchitecturalDashboardMetrics,13,0,09
Coupling,Exporters,QualityDashboardMetrics,13,0,09
Coupling,Exporters,HtmlDashboardExporter,5,0,04
Coupling,Exporters,HubDashboardExporter,1,0,01
Coupling,Exporters,ParsingChartsRenderer,0,0,00
Coupling,Exporters,ParsingDashboardExporter,3,0,02
Coupling,Exporters,QualityDashboardExporter,1,0,01
Coupling,Exporters,StructuralInventoryExporter,9,0,06
Coupling,Exporters,DatasetExporter,4,0,03
Coupling,Exporters,FitnessGateCsvExporter,4,0,03
Coupling,Exporters,DumpAnaliseExporter,5,0,04
Coupling,Exporters,DumpIaExporter,3,0,02
Coupling,Exporters,ExportFolderBootstrapper,0,0,00
Coupling,Exporters,ExportOptions,0,0,00
Coupling,Exporters,ReportExportOptions,0,0,00
Coupling,Exporters,DatasetExportOptions,0,0,00
Coupling,Exporters,DumpExportOptions,0,0,00
Coupling,Exporters,TrendExportOptions,0,0,00
Coupling,Exporters,ExportOrchestrator,0,0,00
Coupling,Exporters,ExportPackage,3,0,02
Coupling,Exporters,ExportPathResolver,0,0,00
Coupling,Exporters,ExecutiveMarkdownReportExporter,1,0,01
Coupling,Exporters,MarkdownReportExporter,8,0,06
